x,y, change, spelling,type
1803.5798245849212,0.057679193,unregulated,rubbish_garbage,observational
1811.7810910381081,0.044194394,,rubbish_garbage,
1817.719110055514,0.038748609,,rubbish_garbage,
1824.7555254828012,0.042779904,,rubbish_garbage,
1832.5882407101676, 0.055038812807737036,,rubbish_garbage,
1840.4343811626386,0.047683468,,rubbish_garbage,
1848.3350293199192,0.047479152,,rubbish_garbage,
1847.534044675663,0.089489489,,rubbish_garbage,
1856.1134950198816,0.052209834,,rubbish_garbage,
1863.9463393359513,0.064280144,,rubbish_garbage,
1871.7809908938616,0.073710074,,rubbish_garbage,
1879.6217096208097,0.074275869,,rubbish_garbage,
1887.9567643149865,0.096503561,,rubbish_garbage,
1893.1396757374162, 0.11191476052033822,,rubbish_garbage,
1896.9211078925814, 0.16904418362585683,,rubbish_garbage,
1900.247904, 0.26553143923661837,,rubbish_garbage,
1903.2969650033222, 0.19944247035880502,,rubbish_garbage,
1906.859008521353, 0.1675834628025864,,rubbish_garbage,
1908.0138581401495, 0.31609463048706077,,rubbish_garbage,
1908.0081604875243, 0.25932881088259574,,rubbish_garbage,
1912.5807663402663, 0.3481210293959298,,rubbish_garbage,
1919.4626787262405, 0.4477010875417251,,rubbish_garbage,
1919.763713581461, 0.3984297046050035,,rubbish_garbage,
1925.060287606816, 0.34076568419197906,,rubbish_garbage,
1929.1760227221666, 0.31596496895301684,,rubbish_garbage,
1933.2797525881451, 0.3560421703847999,,rubbish_garbage,
1934.6841085872638, 0.3398226912171136,,rubbish_garbage,
1938.1332296407109, 0.40371989519399887,,rubbish_garbage,
1942.0820530631797, 0.4665609470390347,,rubbish_garbage,
1949.9218681692073, 0.4684469329887657,,rubbish_garbage,
1957.755745, 0.47900845430725913,,rubbish_garbage,
1963.4582128288616, 0.4792347726212268,,rubbish_garbage,
1967.516077478691,0.538982808,,rubbish_garbage,
1969.794428540962, 0.5949965902157138,,rubbish_garbage,
1974.7438184998007, 0.6540279504422932,,rubbish_garbage,
1982.565174,0.682883535,,rubbish_garbage,
1988.9513211437015,0.725695417,,rubbish_garbage,
1994.9945011972056, 0.7488616106145989,,rubbish_garbage,
1797.6432833849165,0.078990834,formal_institution,quando_cuando,
1805.4867129746258,0.07559606,,quando_cuando,
1813.3266571693562,0.077293447,,quando_cuando,
1819.7212504811675, 0.10776559143093012,,quando_cuando,
1826.1105695974024, 0.1459433355847699,,quando_cuando,
1833.9289559787444, 0.17913668830003493,,quando_cuando,
1839.9658106858053, 0.21154421353624542,,quando_cuando,
1843.138746459345, 0.2623715348814951,,quando_cuando,
1845.955504986731, 0.3128530921359607,,quando_cuando,
1849.4869846326442, 0.3605685366641542,,quando_cuando,
1851.3113694533395, 0.40289006137611716,,quando_cuando,
1853.344822034335, 0.4521960207219172,,quando_cuando,
1855.0934038171945, 0.5011216395678548,,quando_cuando,
1858.0332505742979, 0.5800595814938445,,quando_cuando,
1860.421649755812, 0.6315092782025054,,quando_cuando,
1862.4499430916471, 0.6883528947273968,,quando_cuando,
1864.3368068445582, 0.7435368436165251,,quando_cuando,
1866.6484563377485, 0.8029736908222965,,quando_cuando,
1869.8181971658905, 0.8584688273931304,,quando_cuando,
1873.7039607569807, 0.9092961487383799,,quando_cuando,
1879.7331131714336, 0.9529567234746519,,quando_cuando,
1887.5530486172108, 0.9838868930502398,,quando_cuando,
1895.3749203935317, 1.0119880837012314,,quando_cuando,
1903.210088306254, 1.0206636190699938,,quando_cuando,
1911.0464180173024, 1.0276417670839983,,quando_cuando,
1918.886104034627, 1.0297163516287025,,quando_cuando,
1926.7306954226626, 1.0246241895644288,,quando_cuando,
1934.5708977947988, 1.0259443797292405,,quando_cuando,
1942.4136819409937, 1.0234925979945901,,quando_cuando,
1950.2525934261005, 1.026698774109133,,quando_cuando,
1958.092408532128, 1.0285847600588638,,quando_cuando,
1965.9318363720467, 1.0310365417935141,,quando_cuando,
1973.7717805667771, 1.032733929148272,,quando_cuando,
1981.6177919305449, 1.0255671825392942,,quando_cuando,
1988.3941581657903, 1.0189898065396075,,quando_cuando,
1768.5952270979717, 0.14797821516211118,unregulated,se_ra,
1764.8585609587597,0.071163993,,se_ra,
1775.5946931892022,0.0816851,,se_ra,
1779.2232129623835, 0.1735966045727002,,se_ra,
1783.9248117772622, 0.21857475004885363,,se_ra,
1783.6789193129744, 0.2769627795125803,,se_ra,
1783.3569792594747, 0.35388376424233003,,se_ra,
1783.8708526994396, 0.4131246784633239,,se_ra,
1787.5646829040645, 0.2236459567136858,,se_ra,
1788.729468711798, 0.15844472816584365,,se_ra,
1793.5296459609883, 0.10072682243996978,,se_ra,
1795.2263039645745,0.069296867,,se_ra,
1801.2685137013286, 0.11991672947848242,,se_ra,
1805.5559174282637, 0.18277664118301573,,se_ra,
1807.031982201857, 0.2132730339901655,,se_ra,
1812.099307599688, 0.2041448619934676,,se_ra,
1813.5633735783445, 0.2521714942033667,,se_ra,
1817.7068120514048, 0.2984791849333682,,se_ra,
1817.765791757709, 0.36108718280033025,,se_ra,
1825.5873730844485, 0.3028259335032244,,se_ra,
1830.815191239408, 0.3022208463443523,,se_ra,
1833.2222986011936, 0.37840996374860925,,se_ra,
1832.397576695948, 0.3335989375830014,,se_ra,
1834.0672054942283, 0.4537307227546272,,se_ra,
1836.1257229807668, 0.6147051433904025,,se_ra,
1836.6594918584906, 0.5638778220451528,,se_ra,
1840.497118, 0.47674527116758203,,se_ra,
1843.0509446265723, 0.3906500125623632,,se_ra,
1844.2141414138437, 0.34016845530789763,,se_ra,
