minority;size; author;topology;N;k
0.01032115425950315; 0.974838282734967; Xie_et_al_2011; complete;1000;999
0.012381265541669014; 0.970930276211716;; complete;1000;999
0.014441605998825248; 0.9662545334707322;; complete;1000;999
0.016501946455981478; 0.9615787907297483;; complete;1000;999
0.01856225826626392; 0.9569990150159811;; complete;1000;999
0.020622627370293942; 0.9522273052477807;; complete;1000;999
0.022682967827450173; 0.9475515625067967;; complete;1000;999
0.024743250990858813; 0.9430677538202461;; complete;1000;999
0.02680359144801505; 0.9383920110792623;; complete;1000;999
0.028863989198918874; 0.9335243342838452;; complete;1000;999
0.0309243583029489; 0.9287526245156448;; complete;1000;999
0.03298481334760031; 0.9236930136657944;; complete;1000;999
0.03504529703912553; 0.9185374357887275;; complete;1000;999
0.03710578073065074; 0.9133818579116606;; complete;1000;999
0.03916617848155456; 0.9085141811162435;; complete;1000;999
0.04122677676057496; 0.9029747351303101;; complete;1000;999
0.04328720315835258; 0.8980110913076764;; complete;1000;999
0.045347658203004; 0.8929514804578261;; complete;1000;999
0.047408170541403005; 0.8876999355535427;; complete;1000;999
0.0494687401735496; 0.8822564565948259;; complete;1000;999
0.051529223865074816; 0.8771008787177589;; complete;1000;999
0.05358996537846419; 0.8710815975957424;; complete;1000;999
0.05565064959810598; 0.8652542505281592;; complete;1000;999
0.05771133381774775; 0.8594269034605759;; complete;1000;999
0.05977221856550613; 0.8529277872024764;; complete;1000;999
0.061833160607012064; 0.8462367368899437;; complete;1000;999
0.06389358700478968; 0.84127309306731;; complete;1000;999
0.06595441445880044; 0.8349659108636437;; complete;1000;999
0.06801541379405399; 0.8280829264966777;; complete;1000;999
0.0700765563636765; 0.8207201069936286;; complete;1000;999
0.0721372119364445; 0.8149887269532621;; complete;1000;999
0.07419854071074669; 0.807002121773305;; complete;1000;999
0.07616589628024847; 0.8003046259141681;; complete;1000;999
0.07807271686753753; 0.7873852359606276;; complete;1000;999
0.08019540565401778; 0.7828566744912356;; complete;1000;999
0.08225692063299964; 0.7742462836343706;; complete;1000;999
0.08335624032251077; 0.764201380110118;; complete;1000;999
0.0852556180882178; 0.7612858649915822;; complete;1000;999
0.08731744818281141; 0.7516198368353344;; complete;1000;999
0.08841749222898852; 0.739148338480033;; complete;1000;999
0.09031769256921457; 0.7334771987228489;; complete;1000;999
0.09238143245539458; 0.71741336875216;; complete;1000;999
0.09425736980293996; 0.7034457896864237;; complete;1000;999
0.09520415216488388; 0.6669361447799103;; complete;1000;999
0.09540036415247065; 0.6366682398853694;; complete;1000;999
0.09559699629420643; 0.6049928185916513;; complete;1000;999
0.09579047727982465; 0.5838737702917609;; complete;1000;999
0.0959871094215604; 0.5521983489980429;; complete;1000;999
0.09618059040717862; 0.5310793006981523;; complete;1000;999
0.0963772225489144; 0.4994038794044343;; complete;1000;999
0.09657070353453262; 0.478284831104544;; complete;1000;999
0.09676544498259786; 0.4529432336071224;; complete;1000;999
0.0969608166618866; 0.42549036151093544;; complete;1000;999
0.09715555810995183; 0.40014876401351407;; complete;1000;999
0.09735092978924059; 0.372695891917327;; complete;1000;999
0.09754567123730583; 0.3473542944199055;; complete;1000;999
0.09774104291659458; 0.31990142232371865;; complete;1000;999
0.09793578436465983; 0.29455982482629706;; complete;1000;999
0.09813241650639559; 0.262884403532579;; complete;1000;999
0.0983258974920138; 0.24176535523268872;; complete;1000;999
0.09852252963374958; 0.21008993393897069;; complete;1000;999
0.0987160106193678; 0.18897088563908016;; complete;1000;999
0.09981240287120434; -0.00037508289597942834;; complete;1000;999
0.09891264276110358; 0.15729546434536212;; complete;1000;999
0.09910612374672179; 0.13617641604547182;; complete;1000;999
0.09930275588845755; 0.10450099475175367;; complete;1000;999
0.09949623687407577; 0.08338194645186325;; complete;1000;999
0.09969286901581155; 0.05170652515814533;; complete;1000;999
0.09988635000142976; 0.030587476858254803;; complete;1000;999
0.10176790531922512; -0.002200302544962174;; complete;1000;999
0.10382687072643915; -0.0022696279795484386;; complete;1000;999
0.10588583613365317; -0.0023389534141349255;; complete;1000;999
0.107944830187741; -0.002504245875937672;; complete;1000;999
0.10991017761138967; -0.0024744531271898573;; complete;1000;999
0.009939959330697565; 0.9731765441106321;;complete;1000;10
0.01966292608749629; 0.9460016192553633;;complete;1000;10
0.03012047891298022; 0.9210110406479264;;complete;1000;10
0.039951840620009955; 0.888694536231828;;complete;1000;10
0.04951267263033717; 0.8545317101177812;;complete;1000;10
0.05987769622599375; 0.8100481806161781;;complete;1000;10
0.06245095870987189; 0.790733371544586;;complete;1000;10
0.06530809365493123; 0.7832073610393078;;complete;1000;10
0.06806575618238908; 0.755144654556059;;complete;1000;10
0.07049562859630953; 0.744791074057523;;complete;1000;10
0.07231857786834431; 0.7276404135288898;;complete;1000;10
0.07454193313416749; 0.6932648328642639;;complete;1000;10
0.07707223325121279; 0.6776893026603238;;complete;1000;10
0.07784338007333189; 0.6547338352079584;;complete;1000;10
0.08021275332479685; 0.649946227064432;;complete;1000;10
0.08225164913695637; 0.586057107087728;;complete;1000;10
0.08460364482979127; 0.5517614109419834;;complete;1000;10
0.08734735522304254; 0.44653339547378224;;complete;1000;10
0.08981384556376862; 0.44036127179121864;;complete;1000;10
0.09219604956021726; 0.30879483800916996;;complete;1000;10
0.09484246403885835; 0.1200633289130213;;complete;1000;10
0.09721125952911422; 0.03167228507172726;;complete;1000;10
0.09913127866979385; -0.00044609848872378954;;complete;1000;10
0.09942301544597817; 0.052152328879656595;;complete;1000;10
0.10185008949395855; -0.0074613042858608924;;complete;1000;10
0.10465700729127703; -0.0035897425021529372;;complete;1000;10
0.10730295941523124; -0.005660844792647612;;complete;1000;10
0.10991466088710755; -0.0032572043716512233;;complete;1000;10
0.11200891687664807; -0.0012237332550768532;;complete;1000;10
0.009845818387580373; 0.9720998546322173;;ER;400;10
0.019415607721473042; 0.9487740805046841;;ER;400;10
0.030924949414990938; 0.9230187701688118;;ER;400;10
0.03939445001761906; 0.8979087519030498;;ER;400;10
0.04951304753632909; 0.8533245128238011;;ER;400;10
0.05977873803324379; 0.8112564903328516;;ER;400;10
0.06243044483200969; 0.790655335148724;;ER;400;10
0.06525859714891682; 0.7838675749366034;;ER;400;10
0.06740519105622358; 0.7760914863150519;;ER;400;10
0.0703973604272291; 0.7437775075582387;;ER;400;10
0.07230918412733084; 0.724821898036138;;ER;400;10
0.07494463392735104; 0.7036621003235295;;ER;400;10
0.07788800831430359; 0.6829759793706293;;ER;400;10
0.08028610198092445; 0.6655766154144014;;ER;400;10
0.08255473380207543; 0.6417949659535624;;ER;400;10
0.08465727577072932; 0.6436006735699655;;ER;400;10
0.0873527463239476; 0.6055279788584995;;ER;400;10
0.08976710676947047; 0.5908601894311688;;ER;400;10
0.0923039636727879; 0.534461662503532;;ER;400;10
