#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 6.800000e-03
1 1.240000e-02
2 2.150000e-02
3 3.500000e-02
4 5.510000e-02
5 8.180000e-02
6 1.169000e-01
7 1.601000e-01
8 2.135000e-01
9 2.751000e-01
10 3.451000e-01
11 4.221000e-01
12 5.071000e-01
13 6.042000e-01
14 7.020000e-01
15 7.984000e-01
16 8.802000e-01
17 9.438000e-01
18 9.789000e-01
19 9.935000e-01
20 9.991000e-01
21 1.000000e+00
