#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 6.100000e-03
1 1.170000e-02
2 2.010000e-02
3 3.300000e-02
4 5.150000e-02
5 7.670000e-02
6 1.088000e-01
7 1.516000e-01
8 2.035000e-01
9 2.638000e-01
10 3.322000e-01
11 4.114000e-01
12 4.991000e-01
13 5.925000e-01
14 6.854000e-01
15 7.771000e-01
16 8.586000e-01
17 9.195000e-01
18 9.565000e-01
19 9.775000e-01
20 9.893000e-01
21 9.956000e-01
22 9.987000e-01
23 1.000000e+00
