#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 6.500000e-03
1 1.360000e-02
2 2.310000e-02
3 3.800000e-02
4 5.980000e-02
5 8.920000e-02
6 1.302000e-01
7 1.828000e-01
8 2.454000e-01
9 3.165000e-01
10 3.957000e-01
11 4.827000e-01
12 5.737000e-01
13 6.696000e-01
14 7.617000e-01
15 8.422000e-01
16 9.102000e-01
17 9.601000e-01
18 9.891000e-01
19 9.985000e-01
20 1.000000e+00
