#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 5.600000e-03
1 9.100000e-03
2 1.340000e-02
3 1.880000e-02
4 2.480000e-02
5 3.200000e-02
6 3.920000e-02
7 4.850000e-02
8 6.030000e-02
9 7.500000e-02
10 9.550000e-02
11 1.195000e-01
12 1.513000e-01
13 1.951000e-01
14 2.543000e-01
15 3.381000e-01
16 4.640000e-01
17 6.357000e-01
18 8.401000e-01
19 9.761000e-01
20 9.999000e-01
21 1.000000e+00
