#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#crit-time crit-mass crit-accel
16 5.323000e-01 5.160000e-02
17 4.690000e-01 4.790000e-02
14 4.390000e-01 5.750000e-02
17 3.774000e-01 5.340000e-02
15 4.886000e-01 6.590000e-02
18 4.271000e-01 6.100000e-02
18 4.654000e-01 5.300000e-02
16 4.655000e-01 5.470000e-02
19 5.746000e-01 5.070000e-02
15 5.412000e-01 5.160000e-02
16 4.095000e-01 5.460000e-02
16 5.001000e-01 4.580000e-02
16 5.529000e-01 5.810000e-02
15 4.423000e-01 5.640000e-02
16 5.141000e-01 5.760000e-02
17 4.429000e-01 5.850000e-02
17 4.212000e-01 6.270000e-02
16 4.909000e-01 5.670000e-02
16 4.640000e-01 4.580000e-02
19 5.595000e-01 5.270000e-02
