x,y,N,Topology,Norm
0,0.041666666666666664,48,homogenous,chris
1,0.08333333333333333,48,homogenous,chris
2,0.16666666666666666,48,homogenous,chris
3,0.125,48,homogenous,chris
4,0.20833333333333334,48,homogenous,chris
5,0.16666666666666666,48,homogenous,chris
6,0.25,48,homogenous,chris
7,0.20833333333333334,48,homogenous,chris
8,0.16666666666666666,48,homogenous,chris
9,0.125,48,homogenous,chris
10,0.2916666666666667,48,homogenous,chris
11,0.2916666666666667,48,homogenous,chris
12,0.20833333333333334,48,homogenous,chris
13,0.375,48,homogenous,chris
14,0.3333333333333333,48,homogenous,chris
15,0.25,48,homogenous,chris
16,0.20833333333333334,48,homogenous,chris
17,0.4583333333333333,48,homogenous,chris
18,0.2916666666666667,48,homogenous,chris
19,0.5,48,homogenous,chris
20,0.6666666666666666,48,homogenous,chris
21,0.5833333333333334,48,homogenous,chris
22,0.5833333333333334,48,homogenous,chris
23,0.5416666666666666,48,homogenous,chris
24,0.5416666666666666,48,homogenous,chris
25,0.5833333333333334,48,homogenous,chris
26,0.875,48,homogenous,chris
27,0.7083333333333334,48,homogenous,chris
28,0.7916666666666666,48,homogenous,chris
29,0.7083333333333334,48,homogenous,chris
30,0.9166666666666666,48,homogenous,chris
31,0.7083333333333334,48,homogenous,chris
32,0.9166666666666666,48,homogenous,chris
33,0.8333333333333334,48,homogenous,chris
34,0.75,48,homogenous,chris
35,0.875,48,homogenous,chris
36,0.75,48,homogenous,chris
37,0.9166666666666666,48,homogenous,chris
38,0.9166666666666666,48,homogenous,chris
39,0.875,48,homogenous,chris
0,0.08333333333333333,48,random,anna
1,0.041666666666666664,48,random,anna
2,0.125,48,random,anna
3,0.125,48,random,anna
4,0.041666666666666664,48,random,anna
5,0.125,48,random,anna
6,0.16666666666666666,48,random,anna
7,0.125,48,random,anna
8,0.041666666666666664,48,random,anna
9,0.25,48,random,anna
10,0.08333333333333333,48,random,anna
11,0.16666666666666666,48,random,anna
12,0.20833333333333334,48,random,anna
13,0.08333333333333333,48,random,anna
14,0.2916666666666667,48,random,anna
15,0.08333333333333333,48,random,anna
16,0.125,48,random,anna
17,0.2916666666666667,48,random,anna
18,0.20833333333333334,48,random,anna
19,0.16666666666666666,48,random,anna
20,0.16666666666666666,48,random,anna
21,0.2916666666666667,48,random,anna
22,0.16666666666666666,48,random,anna
23,0.25,48,random,anna
24,0.20833333333333334,48,random,anna
25,0.125,48,random,anna
26,0.20833333333333334,48,random,anna
27,0.16666666666666666,48,random,anna
28,0.20833333333333334,48,random,anna
29,0.20833333333333334,48,random,anna
30,0.25,48,random,anna
31,0.25,48,random,anna
32,0.20833333333333334,48,random,anna
33,0.20833333333333334,48,random,anna
34,0.2916666666666667,48,random,anna
35,0.20833333333333334,48,random,anna
36,0.16666666666666666,48,random,anna
37,0.25,48,random,anna
38,0.16666666666666666,48,random,anna
39,0.375,48,random,anna
0,0.041666666666666664,48,spatial,patrick
1,0.0,48,spatial,patrick
2,0.0,48,spatial,patrick
3,0.041666666666666664,48,spatial,patrick
4,0.0,48,spatial,patrick
5,0.08333333333333333,48,spatial,patrick
6,0.041666666666666664,48,spatial,patrick
7,0.08333333333333333,48,spatial,patrick
8,0.08333333333333333,48,spatial,patrick
9,0.041666666666666664,48,spatial,patrick
10,0.0,48,spatial,patrick
11,0.125,48,spatial,patrick
12,0.08333333333333333,48,spatial,patrick
13,0.125,48,spatial,patrick
14,0.08333333333333333,48,spatial,patrick
15,0.08333333333333333,48,spatial,patrick
16,0.16666666666666666,48,spatial,patrick
17,0.08333333333333333,48,spatial,patrick
18,0.08333333333333333,48,spatial,patrick
19,0.08333333333333333,48,spatial,patrick
20,0.0,48,spatial,patrick
21,0.20833333333333334,48,spatial,patrick
22,0.16666666666666666,48,spatial,patrick
23,0.16666666666666666,48,spatial,patrick
24,0.041666666666666664,48,spatial,patrick
25,0.20833333333333334,48,spatial,patrick
26,0.125,48,spatial,patrick
27,0.16666666666666666,48,spatial,patrick
28,0.125,48,spatial,patrick
29,0.16666666666666666,48,spatial,patrick
30,0.25,48,spatial,patrick
31,0.2916666666666667,48,spatial,patrick
32,0.16666666666666666,48,spatial,patrick
33,0.125,48,spatial,patrick
34,0.08333333333333333,48,spatial,patrick
35,0.16666666666666666,48,spatial,patrick
36,0.25,48,spatial,patrick
37,0.20833333333333334,48,spatial,patrick
38,0.08333333333333333,48,spatial,patrick
39,0.25,48,spatial,patrick
