#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#crit-time crit-mass crit-accel
6 1.101000e-01 7.900000e-03
7 1.487000e-01 1.010000e-02
6 1.058000e-01 9.100000e-03
4 5.590000e-02 1.050000e-02
6 9.990000e-02 8.300000e-03
4 8.400000e-02 1.300000e-02
5 1.074000e-01 1.070000e-02
6 1.472000e-01 9.700000e-03
6 9.830000e-02 9.200000e-03
6 1.197000e-01 8.000000e-03
4 5.970000e-02 1.030000e-02
6 9.760000e-02 8.100000e-03
6 9.690000e-02 8.100000e-03
5 7.110000e-02 8.900000e-03
6 1.682000e-01 1.270000e-02
4 5.180000e-02 8.700000e-03
5 1.077000e-01 1.040000e-02
5 7.080000e-02 7.600000e-03
4 5.400000e-02 1.000000e-02
5 8.800000e-02 8.200000e-03
