#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 6.000000e-03
1 1.100000e-02
2 2.080000e-02
3 3.710000e-02
4 5.910000e-02
5 8.800000e-02
6 1.251000e-01
7 1.700000e-01
8 2.173000e-01
9 2.685000e-01
10 3.204000e-01
11 3.728000e-01
12 4.268000e-01
13 4.830000e-01
14 5.382000e-01
15 5.932000e-01
16 6.447000e-01
17 6.907000e-01
18 7.314000e-01
19 7.675000e-01
20 8.018000e-01
21 8.302000e-01
22 8.555000e-01
23 8.767000e-01
24 8.949000e-01
25 9.139000e-01
26 9.294000e-01
27 9.437000e-01
28 9.568000e-01
29 9.669000e-01
30 9.759000e-01
31 9.834000e-01
32 9.888000e-01
33 9.933000e-01
34 9.971000e-01
35 9.988000e-01
36 9.999000e-01
37 1.000000e+00
