#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 6.000000e-03
1 1.030000e-02
2 1.730000e-02
3 2.930000e-02
4 4.690000e-02
5 7.110000e-02
6 1.042000e-01
7 1.434000e-01
8 1.900000e-01
9 2.438000e-01
10 3.003000e-01
11 3.583000e-01
12 4.183000e-01
13 4.793000e-01
14 5.427000e-01
15 6.023000e-01
16 6.616000e-01
17 7.140000e-01
18 7.576000e-01
19 7.951000e-01
20 8.281000e-01
21 8.573000e-01
22 8.817000e-01
23 9.011000e-01
24 9.173000e-01
25 9.318000e-01
26 9.451000e-01
27 9.554000e-01
28 9.658000e-01
29 9.754000e-01
30 9.831000e-01
31 9.897000e-01
32 9.936000e-01
33 9.963000e-01
34 9.979000e-01
35 9.991000e-01
36 9.998000e-01
37 1.000000e+00
