#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 5.900000e-03
1 1.050000e-02
2 1.750000e-02
3 2.890000e-02
4 4.490000e-02
5 6.800000e-02
6 9.690000e-02
7 1.339000e-01
8 1.775000e-01
9 2.269000e-01
10 2.813000e-01
11 3.346000e-01
12 3.895000e-01
13 4.463000e-01
14 4.995000e-01
15 5.546000e-01
16 6.068000e-01
17 6.545000e-01
18 6.986000e-01
19 7.401000e-01
20 7.771000e-01
21 8.082000e-01
22 8.343000e-01
23 8.590000e-01
24 8.811000e-01
25 9.007000e-01
26 9.179000e-01
27 9.335000e-01
28 9.462000e-01
29 9.572000e-01
30 9.687000e-01
31 9.794000e-01
32 9.882000e-01
33 9.936000e-01
34 9.970000e-01
35 9.990000e-01
36 9.999000e-01
37 1.000000e+00
