#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 6.400000e-03
1 1.330000e-02
2 2.460000e-02
3 4.300000e-02
4 6.930000e-02
5 1.049000e-01
6 1.472000e-01
7 1.992000e-01
8 2.586000e-01
9 3.237000e-01
10 3.916000e-01
11 4.597000e-01
12 5.271000e-01
13 5.876000e-01
14 6.432000e-01
15 6.957000e-01
16 7.398000e-01
17 7.807000e-01
18 8.189000e-01
19 8.536000e-01
20 8.848000e-01
21 9.133000e-01
22 9.388000e-01
23 9.611000e-01
24 9.768000e-01
25 9.868000e-01
26 9.940000e-01
27 9.982000e-01
28 9.999000e-01
29 1.000000e+00
