#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 5.600000e-03
1 1.090000e-02
2 2.040000e-02
3 3.560000e-02
4 5.690000e-02
5 8.530000e-02
6 1.197000e-01
7 1.621000e-01
8 2.091000e-01
9 2.600000e-01
10 3.159000e-01
11 3.733000e-01
12 4.300000e-01
13 4.875000e-01
14 5.465000e-01
15 6.075000e-01
16 6.642000e-01
17 7.154000e-01
18 7.608000e-01
19 8.021000e-01
20 8.378000e-01
21 8.696000e-01
22 8.984000e-01
23 9.232000e-01
24 9.439000e-01
25 9.590000e-01
26 9.686000e-01
27 9.757000e-01
28 9.810000e-01
29 9.857000e-01
30 9.901000e-01
31 9.942000e-01
32 9.972000e-01
33 9.991000e-01
34 1.000000e+00
