#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 6.700000e-03
1 1.220000e-02
2 2.060000e-02
3 3.440000e-02
4 5.400000e-02
5 8.360000e-02
6 1.222000e-01
7 1.688000e-01
8 2.196000e-01
9 2.729000e-01
10 3.299000e-01
11 3.883000e-01
12 4.474000e-01
13 5.056000e-01
14 5.639000e-01
15 6.193000e-01
16 6.733000e-01
17 7.230000e-01
18 7.702000e-01
19 8.141000e-01
20 8.518000e-01
21 8.833000e-01
22 9.110000e-01
23 9.329000e-01
24 9.489000e-01
25 9.623000e-01
26 9.720000e-01
27 9.802000e-01
28 9.861000e-01
29 9.901000e-01
30 9.938000e-01
31 9.974000e-01
32 9.997000e-01
33 1.000000e+00
