#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 6.700000e-03
1 1.190000e-02
2 2.150000e-02
3 3.680000e-02
4 5.970000e-02
5 9.290000e-02
6 1.337000e-01
7 1.829000e-01
8 2.366000e-01
9 2.948000e-01
10 3.532000e-01
11 4.169000e-01
12 4.806000e-01
13 5.404000e-01
14 5.986000e-01
15 6.519000e-01
16 7.014000e-01
17 7.438000e-01
18 7.784000e-01
19 8.041000e-01
20 8.247000e-01
21 8.435000e-01
22 8.600000e-01
23 8.739000e-01
24 8.870000e-01
25 8.987000e-01
26 9.113000e-01
27 9.228000e-01
28 9.338000e-01
29 9.438000e-01
30 9.536000e-01
31 9.626000e-01
32 9.688000e-01
33 9.743000e-01
34 9.792000e-01
35 9.842000e-01
36 9.885000e-01
37 9.927000e-01
38 9.961000e-01
39 9.983000e-01
40 1.000000e+00
