#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 5.900000e-03
1 1.030000e-02
2 1.710000e-02
3 2.880000e-02
4 4.650000e-02
5 6.910000e-02
6 9.830000e-02
7 1.367000e-01
8 1.810000e-01
9 2.279000e-01
10 2.791000e-01
11 3.326000e-01
12 3.890000e-01
13 4.459000e-01
14 5.027000e-01
15 5.572000e-01
16 6.092000e-01
17 6.574000e-01
18 7.048000e-01
19 7.489000e-01
20 7.894000e-01
21 8.243000e-01
22 8.557000e-01
23 8.827000e-01
24 9.073000e-01
25 9.279000e-01
26 9.447000e-01
27 9.605000e-01
28 9.733000e-01
29 9.824000e-01
30 9.888000e-01
31 9.925000e-01
32 9.955000e-01
33 9.976000e-01
34 9.993000e-01
35 1.000000e+00
