#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 6.500000e-03
1 1.200000e-02
2 2.130000e-02
3 3.500000e-02
4 5.590000e-02
5 8.730000e-02
6 1.263000e-01
7 1.737000e-01
8 2.277000e-01
9 2.888000e-01
10 3.535000e-01
11 4.190000e-01
12 4.863000e-01
13 5.479000e-01
14 6.084000e-01
15 6.608000e-01
16 7.065000e-01
17 7.485000e-01
18 7.867000e-01
19 8.196000e-01
20 8.486000e-01
21 8.728000e-01
22 8.918000e-01
23 9.085000e-01
24 9.221000e-01
25 9.343000e-01
26 9.447000e-01
27 9.533000e-01
28 9.615000e-01
29 9.694000e-01
30 9.768000e-01
31 9.832000e-01
32 9.901000e-01
33 9.945000e-01
34 9.980000e-01
35 9.994000e-01
36 1.000000e+00
