#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 7.600000e-03
1 1.540000e-02
2 2.860000e-02
3 5.090000e-02
4 8.400000e-02
5 1.301000e-01
6 1.857000e-01
7 2.487000e-01
8 3.180000e-01
9 3.936000e-01
10 4.741000e-01
11 5.566000e-01
12 6.347000e-01
13 7.016000e-01
14 7.565000e-01
15 8.033000e-01
16 8.428000e-01
17 8.773000e-01
18 9.073000e-01
19 9.291000e-01
20 9.463000e-01
21 9.618000e-01
22 9.743000e-01
23 9.834000e-01
24 9.904000e-01
25 9.951000e-01
26 9.978000e-01
27 9.994000e-01
28 1.000000e+00
