#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 5.500000e-03
1 9.400000e-03
2 1.590000e-02
3 2.900000e-02
4 4.730000e-02
5 7.450000e-02
6 1.073000e-01
7 1.487000e-01
8 2.002000e-01
9 2.588000e-01
10 3.191000e-01
11 3.785000e-01
12 4.406000e-01
13 5.050000e-01
14 5.654000e-01
15 6.233000e-01
16 6.775000e-01
17 7.285000e-01
18 7.760000e-01
19 8.175000e-01
20 8.563000e-01
21 8.914000e-01
22 9.208000e-01
23 9.430000e-01
24 9.576000e-01
25 9.700000e-01
26 9.791000e-01
27 9.862000e-01
28 9.919000e-01
29 9.952000e-01
30 9.976000e-01
31 9.995000e-01
32 1.000000e+00
