#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 5.100000e-03
1 9.900000e-03
2 1.810000e-02
3 3.140000e-02
4 5.130000e-02
5 7.710000e-02
6 1.101000e-01
7 1.510000e-01
8 1.957000e-01
9 2.451000e-01
10 2.963000e-01
11 3.496000e-01
12 4.039000e-01
13 4.564000e-01
14 5.050000e-01
15 5.506000e-01
16 5.953000e-01
17 6.387000e-01
18 6.794000e-01
19 7.195000e-01
20 7.569000e-01
21 7.894000e-01
22 8.187000e-01
23 8.469000e-01
24 8.693000e-01
25 8.899000e-01
26 9.083000e-01
27 9.249000e-01
28 9.403000e-01
29 9.545000e-01
30 9.687000e-01
31 9.794000e-01
32 9.869000e-01
33 9.930000e-01
34 9.976000e-01
35 9.998000e-01
36 1.000000e+00
