#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 5.500000e-03
1 1.040000e-02
2 1.760000e-02
3 3.010000e-02
4 4.790000e-02
5 7.080000e-02
6 1.013000e-01
7 1.357000e-01
8 1.763000e-01
9 2.213000e-01
10 2.685000e-01
11 3.170000e-01
12 3.651000e-01
13 4.152000e-01
14 4.637000e-01
15 5.092000e-01
16 5.521000e-01
17 5.951000e-01
18 6.394000e-01
19 6.816000e-01
20 7.225000e-01
21 7.604000e-01
22 7.918000e-01
23 8.206000e-01
24 8.463000e-01
25 8.693000e-01
26 8.896000e-01
27 9.052000e-01
28 9.198000e-01
29 9.319000e-01
30 9.427000e-01
31 9.531000e-01
32 9.623000e-01
33 9.711000e-01
34 9.793000e-01
35 9.870000e-01
36 9.930000e-01
37 9.978000e-01
38 9.998000e-01
39 1.000000e+00
