#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 5.000000e-03
1 9.800000e-03
2 1.710000e-02
3 2.910000e-02
4 4.620000e-02
5 6.930000e-02
6 9.990000e-02
7 1.388000e-01
8 1.815000e-01
9 2.314000e-01
10 2.814000e-01
11 3.364000e-01
12 3.924000e-01
13 4.490000e-01
14 5.056000e-01
15 5.572000e-01
16 6.036000e-01
17 6.486000e-01
18 6.906000e-01
19 7.301000e-01
20 7.666000e-01
21 7.994000e-01
22 8.306000e-01
23 8.574000e-01
24 8.801000e-01
25 9.022000e-01
26 9.250000e-01
27 9.436000e-01
28 9.576000e-01
29 9.682000e-01
30 9.759000e-01
31 9.814000e-01
32 9.858000e-01
33 9.897000e-01
34 9.930000e-01
35 9.956000e-01
36 9.972000e-01
37 9.988000e-01
38 9.998000e-01
39 1.000000e+00
