#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 5.800000e-03
1 1.080000e-02
2 1.920000e-02
3 3.240000e-02
4 5.180000e-02
5 7.990000e-02
6 1.153000e-01
7 1.568000e-01
8 2.038000e-01
9 2.548000e-01
10 3.095000e-01
11 3.698000e-01
12 4.318000e-01
13 4.937000e-01
14 5.563000e-01
15 6.190000e-01
16 6.798000e-01
17 7.330000e-01
18 7.797000e-01
19 8.185000e-01
20 8.521000e-01
21 8.834000e-01
22 9.095000e-01
23 9.330000e-01
24 9.495000e-01
25 9.639000e-01
26 9.757000e-01
27 9.845000e-01
28 9.905000e-01
29 9.951000e-01
30 9.980000e-01
31 9.994000e-01
32 9.999000e-01
33 1.000000e+00
