#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 7.400000e-03
1 1.360000e-02
2 2.490000e-02
3 4.400000e-02
4 7.080000e-02
5 1.077000e-01
6 1.550000e-01
7 2.054000e-01
8 2.644000e-01
9 3.283000e-01
10 3.945000e-01
11 4.604000e-01
12 5.289000e-01
13 5.971000e-01
14 6.628000e-01
15 7.234000e-01
16 7.810000e-01
17 8.290000e-01
18 8.697000e-01
19 9.008000e-01
20 9.254000e-01
21 9.461000e-01
22 9.649000e-01
23 9.786000e-01
24 9.880000e-01
25 9.941000e-01
26 9.974000e-01
27 9.995000e-01
28 1.000000e+00
