#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 6.400000e-03
1 1.310000e-02
2 2.470000e-02
3 4.380000e-02
4 7.050000e-02
5 1.074000e-01
6 1.550000e-01
7 2.119000e-01
8 2.692000e-01
9 3.285000e-01
10 3.875000e-01
11 4.462000e-01
12 5.055000e-01
13 5.625000e-01
14 6.185000e-01
15 6.693000e-01
16 7.168000e-01
17 7.609000e-01
18 8.003000e-01
19 8.364000e-01
20 8.677000e-01
21 8.965000e-01
22 9.201000e-01
23 9.408000e-01
24 9.586000e-01
25 9.732000e-01
26 9.850000e-01
27 9.931000e-01
28 9.978000e-01
29 1.000000e+00
