#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 8.100000e-03
1 1.520000e-02
2 2.770000e-02
3 4.810000e-02
4 7.840000e-02
5 1.180000e-01
6 1.682000e-01
7 2.311000e-01
8 3.056000e-01
9 3.854000e-01
10 4.657000e-01
11 5.472000e-01
12 6.208000e-01
13 6.835000e-01
14 7.342000e-01
15 7.797000e-01
16 8.210000e-01
17 8.582000e-01
18 8.921000e-01
19 9.226000e-01
20 9.483000e-01
21 9.659000e-01
22 9.792000e-01
23 9.883000e-01
24 9.942000e-01
25 9.977000e-01
26 9.996000e-01
27 1.000000e+00
