#Nsite= 10000 th_avg= 0.250000 th_std= 0.100000
#time N_Adopt
0 5.800000e-03
1 9.700000e-03
2 1.670000e-02
3 2.770000e-02
4 4.420000e-02
5 6.750000e-02
6 9.760000e-02
7 1.358000e-01
8 1.794000e-01
9 2.298000e-01
10 2.817000e-01
11 3.383000e-01
12 3.953000e-01
13 4.563000e-01
14 5.181000e-01
15 5.771000e-01
16 6.307000e-01
17 6.838000e-01
18 7.317000e-01
19 7.793000e-01
20 8.229000e-01
21 8.620000e-01
22 8.928000e-01
23 9.168000e-01
24 9.384000e-01
25 9.546000e-01
26 9.676000e-01
27 9.766000e-01
28 9.833000e-01
29 9.878000e-01
30 9.911000e-01
31 9.946000e-01
32 9.970000e-01
33 9.990000e-01
34 9.999000e-01
35 1.000000e+00
